name,yahoo_ticker
Telia Company,TELIA.ST
Alfa Laval AB,ALFA.ST
ASSA ABLOY AB,ASSA_B.ST
Atlas Copco AB,ATCO_A.ST
Autoliv Inc.,ALIV SDB.ST
Boliden AB,BOL.ST
Telefonaktiebolaget LM Ericsson,ERICB.ST
Essity AB,ESSITY_B.ST
Getinge AB,GETI_B.ST
H & M Hennes & Mauritz AB,HM_B.ST
Hexagon AB,HEXA_B.ST
Investor AB,INVEB.ST
Kinnevik AB,KINV_B.ST
Sandvik AB,SANDVIK_A.ST
Securitas AB,SECU_B.ST
Skandinaviska Enskilda Banken AB,SEBA.ST
Skanska AB,SKANSKA_B.ST
AB SKF,SKF_B.ST
Svenska Handelsbanken AB,SHB_A.ST
Swedbank AB,SWED_A.ST
Swedish Match AB,SWMA.ST
Tele2 AB,TEL2_B.ST
Aktiebolaget Electrolux,ELUX_B.ST
Svenska Cellulosa Aktiebolaget,SCA_A.ST
SSAB Svenskt Stål AB,SSAB_A.ST
AstraZeneca PLC,AZN.ST
ABB Ltd,ABB.ST
Elisa Oyj,ELI1V.ST
Fortum Oyj,FUM1V.ST
Kesko Oyj,KESBV.ST
KONE Oyj,KNEBV.ST
Neste Oyj,NESTE.ST
Nokia Corporation,NOKIA.ST
Nokian Renkaat Oyj,NRE1V.ST
Orion Oyj,ORNBV.ST
Outokumpu Oyj,OUT1V.ST
Sampo Oyj,SAMPO.ST
Stora Enso Oyj R,STERV.ST
UPM-Kymmene Oyj,UPM1V.ST
Cargotec Corporation,CGCBV.ST
Huhtamäki Oyj,HUH1V.ST
Konecranes PLC,KCR.ST
Metsä Board Oyj,METSB.ST
Nordea Bank Abp,NDA-FI.ST
Valmet Oyj,VALMT.ST
Kemira Oyj,KRA1V.ST
Kojamo,KOJAMO.ST
Neles Oyj,NELES.ST
TietoEVRY Oyj,TIETO.ST
Metso Outotec Oyj,MOCORP.ST
Wärtsilä Corporation,WRT1V.ST
